seed,node_id,x,y,energy,node_type,sink_distance,neighbors,coverage_contribution,overlap_ratio,node_density,ann_prediction,final_state
456,71,28.55,84.77,0.5,normal,68.67,13,0.0,1.0,1.0345,SLEEP,SLEEP
456,72,46.16,7.44,0.5,normal,142.61,9,0.0,1.0,0.7162,SLEEP,SLEEP
456,73,86.0,42.03,0.5,normal,113.81,13,0.0,1.0,1.0345,SLEEP,SLEEP
456,74,52.49,65.17,0.5,normal,84.87,12,0.05,0.95,0.9549,SLEEP,ACTIVE
456,75,37.1,98.61,0.5,normal,52.98,7,0.4706,0.5294,0.557,ACTIVE,ACTIVE
456,76,27.73,68.14,0.5,normal,84.84,12,0.0,1.0,0.9549,SLEEP,SLEEP
456,77,54.52,52.71,0.5,normal,97.39,14,0.0127,0.9873,1.1141,SLEEP,ACTIVE
456,78,0.77,75.76,0.5,normal,89.08,6,0.0,1.0,0.4775,SLEEP,SLEEP
456,79,20.16,74.04,0.5,normal,81.61,16,0.0133,0.9867,1.2732,SLEEP,SLEEP
456,80,11.48,44.58,0.5,normal,112.24,7,0.0127,0.9873,0.557,SLEEP,SLEEP
456,81,27.85,21.04,0.5,normal,130.85,14,0.0,1.0,1.1141,SLEEP,SLEEP
456,82,36.51,79.58,0.5,normal,71.7,12,0.0,1.0,0.9549,SLEEP,SLEEP
456,83,8.98,66.09,0.5,normal,93.4,11,0.0,1.0,0.8754,SLEEP,ACTIVE
456,84,22.3,46.08,0.5,normal,107.54,9,0.2987,0.7013,0.7162,ACTIVE,ACTIVE
456,85,62.06,16.0,0.5,normal,134.54,8,0.0,1.0,0.6366,SLEEP,SLEEP
456,86,92.85,65.02,0.5,normal,95.17,10,0.0,1.0,0.7958,SLEEP,SLEEP
456,87,56.29,53.62,0.5,normal,96.59,14,0.0,1.0,1.1141,SLEEP,SLEEP
456,88,73.9,94.23,0.5,normal,60.67,3,0.5522,0.4478,0.2387,ACTIVE,ACTIVE
456,89,26.96,5.27,0.5,normal,146.56,13,0.0,1.0,1.0345,SLEEP,ACTIVE
456,90,17.09,49.39,0.5,normal,105.86,9,0.0,1.0,0.7162,SLEEP,SLEEP
456,91,71.14,51.68,0.5,normal,100.57,15,0.0,1.0,1.1937,SLEEP,ACTIVE
456,92,22.49,23.01,0.5,normal,129.93,14,0.0,1.0,1.1141,SLEEP,SLEEP
456,93,95.41,33.6,0.5,normal,124.94,8,0.0149,0.9851,0.6366,SLEEP,ACTIVE
456,94,68.03,73.42,0.5,normal,78.67,10,0.0,1.0,0.7958,SLEEP,SLEEP
456,95,38.52,53.0,0.5,normal,97.68,9,0.0875,0.9125,0.7162,SLEEP,ACTIVE
456,96,11.34,45.33,0.5,normal,111.58,7,0.0,1.0,0.557,SLEEP,SLEEP
456,97,5.13,39.87,0.5,normal,118.92,6,0.3088,0.6912,0.4775,ACTIVE,ACTIVE
456,98,91.28,45.1,0.5,normal,112.73,12,0.0,1.0,0.9549,SLEEP,ACTIVE
456,99,6.67,99.9,0.5,normal,66.23,4,0.0,1.0,0.3183,SLEEP,SLEEP
