Seed,Method,Active_Nodes,Sleeping_Nodes,Coverage_Pct,Overlap_Pct,FND,HND,LND,Throughput_Packets,Runtime_Seconds
42,Baseline PSO-Hybrid,100,0,92.695117,82.704272,163,786,1000,69721,248.52
42,ANN + PSO-Hybrid,60,40,91.695502,64.025157,157,1000,1000,48814,126.34
123,Baseline PSO-Hybrid,100,0,94.156094,81.135157,135,910,1000,74382,255.41
123,ANN + PSO-Hybrid,53,47,93.156478,48.906314,546,1000,1000,45587,127.89
456,Baseline PSO-Hybrid,100,0,94.348328,83.700081,136,860,1000,70457,254.13
456,ANN + PSO-Hybrid,55,45,93.348712,51.976936,573,1000,1000,49925,129.94
